id;ID2;hopur;stard_sk;Strf_ald;stadsetn;Hof_land;Ladhl;sp_a10;sp_b13;sp_b14;sp_a01;sp_c04;sp_b01;sp_b02;sp_b03;sp_b04;sp_a02;sp_a03;sp_a04;sp_a05;sp_a06;sp_a07;sp_a08;sp_a09;sp_b05;sp_b06;sp_b07;sp_b08;sp_b09;sp_b10;sp_b11;sp_b12;sp_c01;sp_c02;sp_c03;nmiss;Nmiss_f
100001;1;1;11;-999;4;2;3;-999;-999;-999;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;3;0
100002;2;1;31;-999;6;2;6;-999;-999;-999;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;3;0
100003;3;1;31;-999;1;1;1;-999;-999;-999;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100004;4;1;11;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100005;5;1;21;-999;5;2;3;-999;-999;-999;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;3;0
100006;6;1;21;-999;6;2;6;-999;-999;-999;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
100007;7;1;11;-999;4;2;3;-999;-999;-999;1;1;1;1;1;1;0;0;1;-999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1
100008;8;1;21;-999;6;2;6;-999;-999;-999;0;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;3;0
100009;9;1;1;-999;4;2;3;-999;-999;-999;1;0;1;1;1;1;1;0;1;1;1;0;0;-999;1;1;1;1;1;1;1;1;1;1;1;4;1
100010;10;1;21;-999;6;2;6;-999;-999;-999;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;3;0
100011;11;1;21;-999;6;2;6;-999;-999;-999;0;0;1;1;0;1;0;0;0;1;-999;0;0;-999;1;0;1;0;1;0;0;1;1;0;0;5;2
