"","sveitarfelag","verd","staerd"
"1","Reykjavíkurborg",65000,35
"2","Hafnarfjarðarkaupstaður",90000,71.2
"3","Reykjavíkurborg",140000,92
"4","Reykjavíkurborg",75000,43
"5","Hafnarfjarðarkaupstaður",105750,91.8
"6","Reykjavíkurborg",127000,59.6
"7","Hafnarfjarðarkaupstaður",135000,109
"8","Reykjavíkurborg",170000,218
"9","Reykjavíkurborg",90000,85
"10","Reykjavíkurborg",114116,104.4
"11","Kópavogsbær",145000,110
"12","Hafnarfjarðarkaupstaður",90000,71.2
"13","Kópavogsbær",95000,97.8
"14","Mosfellsbær",130000,94
"15","Mosfellsbær",90000,90
"16","Reykjavíkurborg",1e+05,59.7
"17","Reykjavíkurborg",90000,50
"18","Reykjavíkurborg",114116,104.4
"19","Reykjavíkurborg",86366,66.7
"20","Reykjavíkurborg",80000,65
"21","Reykjavíkurborg",140000,88.7
"22","Reykjavíkurborg",135000,75
"23","Reykjavíkurborg",140000,115
"24","Reykjavíkurborg",110000,78
"25","Reykjavíkurborg",80000,50
"26","Reykjavíkurborg",80000,48.4
"27","Hafnarfjarðarkaupstaður",114000,78.1
"28","Reykjavíkurborg",1e+05,74.4
"29","Hafnarfjarðarkaupstaður",110000,101.7
"30","Reykjavíkurborg",130000,89.5
"31","Garðabær",70000,67.5
"32","Reykjavíkurborg",95000,99.5
"33","Reykjavíkurborg",80000,87.2
"34","Reykjavíkurborg",115000,57.3
"35","Reykjavíkurborg",130000,85.5
"36","Reykjavíkurborg",65000,40
"37","Reykjavíkurborg",80000,55
"38","Reykjavíkurborg",115000,115.1
"39","Reykjavíkurborg",133750,97
"40","Hafnarfjarðarkaupstaður",110000,90
"41","Hafnarfjarðarkaupstaður",120000,109.9
"42","Reykjavíkurborg",105000,90
"43","Reykjavíkurborg",120000,91.7
"44","Kópavogsbær",75000,62
"45","Mosfellsbær",155193,115.9
"46","Reykjavíkurborg",90000,53.9
"47","Reykjavíkurborg",62130,89
"48","Reykjavíkurborg",70000,70.1
"49","Hafnarfjarðarkaupstaður",90000,56
"50","Hafnarfjarðarkaupstaður",130000,80
"51","Hafnarfjarðarkaupstaður",107524,73.4
"52","Reykjavíkurborg",1e+05,82.6
"53","Reykjavíkurborg",88000,70
"54","Reykjavíkurborg",140000,129.6
"55","Reykjavíkurborg",125000,105
"56","Reykjavíkurborg",115000,119.1
"57","Kópavogsbær",110000,76.3
"58","Reykjavíkurborg",85000,48.1
"59","Reykjavíkurborg",90000,75
"60","Kópavogsbær",83000,41
"61","Reykjavíkurborg",1e+05,120
"62","Garðabær",140000,148.5
"63","Hafnarfjarðarkaupstaður",120000,80
"64","Kópavogsbær",110000,80
"65","Hafnarfjarðarkaupstaður",99500,69.2
"66","Reykjavíkurborg",90000,90.8
"67","Hafnarfjarðarkaupstaður",110000,81.8
"68","Reykjavíkurborg",90000,54
"69","Mosfellsbær",175000,177
"70","Reykjavíkurborg",110000,82
"71","Reykjavíkurborg",90000,54
"72","Kópavogsbær",104000,182.6
"73","Hafnarfjarðarkaupstaður",115000,62
"74","Hafnarfjarðarkaupstaður",140000,109
"75","Hafnarfjarðarkaupstaður",70000,45
"76","Reykjavíkurborg",110000,74.3
"77","Hafnarfjarðarkaupstaður",70000,144.1
"78","Reykjavíkurborg",117000,91.8
"79","Reykjavíkurborg",92500,50
"80","Reykjavíkurborg",62130,89
"81","Reykjavíkurborg",88000,46
"82","Reykjavíkurborg",120000,80.4
"83","Reykjavíkurborg",110000,89
"84","Hafnarfjarðarkaupstaður",90000,65
"85","Reykjavíkurborg",1e+05,64
"86","Reykjavíkurborg",65000,55
"87","Reykjavíkurborg",130000,100
"88","Kópavogsbær",120000,128.4
"89","Hafnarfjarðarkaupstaður",80000,65
"90","Mosfellsbær",158895,117.7
"91","Reykjavíkurborg",68000,45
"92","Reykjavíkurborg",95000,53
"93","Kópavogsbær",100500,70.8
"94","Hafnarfjarðarkaupstaður",120000,132
"95","Reykjavíkurborg",130000,102.8
"96","Reykjavíkurborg",103000,60
"97","Kópavogsbær",90000,100
"98","Reykjavíkurborg",140000,98
"99","Reykjavíkurborg",105000,88
"100","Reykjavíkurborg",75000,87.7
"101","Reykjavíkurborg",95000,70
"102","Reykjavíkurborg",135000,101
"103","Reykjavíkurborg",82000,70
"104","Reykjavíkurborg",95000,50
"105","Garðabær",94581,91
"106","Hafnarfjarðarkaupstaður",79750,82.1
"107","Hafnarfjarðarkaupstaður",90000,60
"108","Reykjavíkurborg",1e+05,65
"109","Kópavogsbær",150000,135
"110","Hafnarfjarðarkaupstaður",80000,68
"111","Hafnarfjarðarkaupstaður",90000,50
"112","Hafnarfjarðarkaupstaður",67388,42.1
"113","Kópavogsbær",90000,100.8
"114","Reykjavíkurborg",95000,93.6
"115","Hafnarfjarðarkaupstaður",125000,79.9
"116","Reykjavíkurborg",120000,54
"117","Reykjavíkurborg",110000,71.6
"118","Reykjavíkurborg",65000,38
"119","Reykjavíkurborg",110000,80
"120","Reykjavíkurborg",110000,105.7
"121","Reykjavíkurborg",120000,50
"122","Reykjavíkurborg",80000,65
"123","Hafnarfjarðarkaupstaður",130000,82.1
"124","Reykjavíkurborg",65000,35
"125","Hafnarfjarðarkaupstaður",85000,60.2
"126","Reykjavíkurborg",1e+05,60.8
"127","Reykjavíkurborg",1e+05,34.3
"128","Kópavogsbær",120000,94.6
"129","Garðabær",85000,60
"130","Reykjavíkurborg",65000,82
"131","Reykjavíkurborg",75000,66
"132","Reykjavíkurborg",90000,93.4
"133","Reykjavíkurborg",130000,136
"134","Hafnarfjarðarkaupstaður",90000,48
"135","Hafnarfjarðarkaupstaður",120000,104.5
"136","Reykjavíkurborg",95000,62.5
"137","Reykjavíkurborg",150000,117
"138","Hafnarfjarðarkaupstaður",1e+05,74
