"","verd","staerd","fj_herb"
"1",257000,78.1,3
"2",115000,45,1
"3",193000,91,3
"4",210000,64.7,2
"5",220000,83.3,2
"6",220000,55.5,3
"7",120000,25,1
"8",240000,88,3
"9",1e+05,32,1
"10",130000,28,1
"11",195000,61.6,2
"12",180000,101.7,4
"13",130000,39.6,1
"14",2e+05,109.1,3
"15",230000,106.1,4
"16",90000,40,2
"17",135000,32.8,1
"18",140000,88,2
"19",135000,33,1
"20",243000,120.4,3
"21",1e+05,27,1
"22",263210,130,4
"23",210000,65.4,2
"24",185000,65,2
"25",133476,28.4,1
"26",275000,84.3,3
"27",223000,67,2
"28",2e+05,75.4,3
"29",1e+05,27,1
"30",190000,75,3
"31",120000,60,2
"32",230000,86,3
"33",260000,83,3
"34",130000,50,2
"35",145000,27.4,2
"36",195000,63.8,2
"37",120000,30,1
"38",245000,99.2,3
"39",205000,54.5,3
"40",190000,61.6,2
"41",250000,97.7,3
"42",130000,30.5,1
"43",220000,65.8,2
"44",210000,93.1,4
"45",220000,72.7,3
"46",188719,58.6,2
"47",235000,89.7,3
"48",137000,73,3
"49",170000,60,2
"50",220000,75.9,2
"51",280000,99.1,3
"52",113500,34,1
"53",180000,109,4
"54",140000,47.6,2
"55",245000,80,3
"56",160000,50,1
"57",260406,103,4
"58",210000,89.9,3
"59",135000,26,2
"60",120000,38,1
"61",252000,101.3,3
"62",155000,30,1
"63",160000,47.5,2
"64",110000,40,1
"65",230000,100.5,4
"66",244000,76.9,3
"67",150000,95.5,4
"68",140000,55,2
"69",205000,85,3
"70",255000,80.7,3
"71",150000,60,3
"72",177000,104.2,3
"73",180000,46.1,2
"74",150000,41.3,3
"75",225000,108,4
"76",150000,37.4,2
"77",240000,84,3
"78",240000,56.2,3
"79",220000,76,2
"80",135000,55,2
"81",275000,110.9,4
"82",225000,73,2
"83",260000,109,5
"84",180000,35,1
"85",240000,188.6,3
"86",223000,73.5,2
"87",130000,81.2,2
"88",212000,87.4,4
"89",272000,101.2,4
"90",70000,81,3
"91",150000,33,1
"92",183000,119.6,3
"93",2e+05,74.9,3
"94",260000,101.6,3
"95",2e+05,87.4,3
"96",147000,34,2
"97",125000,58.4,1
"98",240000,80,3
"99",180000,64.1,2
"100",235000,80,3
"101",140000,67,3
"102",232000,73.8,3
"103",220000,89.5,3
"104",250000,78.9,3
"105",269000,84.1,3
"106",130000,46.1,2
"107",260000,106.1,4
"108",250000,87.7,3
"109",326705,85.6,2
"110",230000,85,3
"111",206000,46.1,2
"112",260000,80.3,4
"113",150000,45,1
"114",250000,72,3
"115",180000,46.6,2
"116",182000,47.6,2
"117",177000,105.9,3
"118",170000,49.4,2
"119",255000,96,3
"120",180000,107.1,4
"121",250000,69.9,3
"122",212000,91,3
"123",270000,110,4
"124",174000,37.9,1
"125",150000,21,1
"126",250000,100,3
"127",177000,107.1,3
"128",1e+05,31,1
"129",175000,27.2,2
"130",265000,106.1,4
"131",185000,88,2
"132",240000,96.6,3
"133",215000,91.5,3
"134",245000,104.1,4
"135",176000,77,2
"136",220000,66.7,2
"137",220000,89,2
"138",190000,79.3,2
"139",265000,84.3,3
"140",235000,84.9,3
"141",177000,107,3
"142",209356,72.2,3
"143",142000,40,2
"144",285000,115,4
"145",2e+05,63,2
"146",225000,76,3
"147",135000,55.3,2
"148",255000,90,3
"149",220000,104.4,4
"150",185000,60,2
"151",250000,71.2,3
"152",220000,66,2
"153",170000,73.2,3
"154",230000,114,4
"155",240000,62,3
"156",165000,46,2
"157",299000,90,3
"158",215000,69.4,3
"159",153451,53.5,2
"160",140000,25,2
"161",150000,47.6,2
"162",135000,34,1
"163",125000,55.5,2
"164",240000,70,2
"165",169000,43.3,1
"166",250000,110.8,4
"167",2e+05,50.6,2
"168",145000,30,2
"169",246000,76.4,3
"170",194000,72.7,2
"171",134000,52.4,1
"172",220000,60,2
"173",290000,75.2,3
"174",244000,80,3
"175",190000,74,3
"176",250000,110,4
"177",160000,59,2
"178",265000,79.5,3
"179",130000,108,3
"180",180000,74,3
"181",1e+05,75,2
"182",165000,40,1
"183",235000,81.1,3
"184",250000,50,3
"185",117204,59.3,2
"186",195000,90.2,3
"187",110000,61.2,2
"188",153000,45.8,2
"189",255000,102.9,3
"190",180000,39,2
"191",231000,78.8,3
"192",170000,72,2
"193",250000,76,3
"194",180000,52,2
"195",170000,62.5,1
"196",130000,30,1
"197",151000,35,2
"198",215000,45.8,2
"199",210000,87,3
"200",188000,50,2
"201",245000,78.7,3
"202",184000,48.3,2
"203",195000,50,3
"204",210000,91.4,5
"205",210000,50.9,2
"206",230000,77.5,3
"207",190000,100.8,3
"208",1e+05,27.3,1
"209",265000,69.2,3
"210",220000,89.9,3
"211",131642,23.6,1
