"","trstplc","lrscale","rlgdgr","eduyrs","hinctnt","socialtrust","age"
"1",NA,NA,NA,NA,NA,NA,NA
"2",5,6,5,21,NA,8.33333333333333,34
"3",4,1,8,17,6,7.33333333333333,25
"4",8,4,9,16,NA,5.66666666666667,22
"5",10,5,10,10,5,10,65
"6",8,3,10,10,8,8,19
"7",8,2,6,13,9,7.33333333333333,47
"8",8,5,8,7,7,6,65
"9",5,5,8,10,9,5.66666666666667,43
"10",7,10,7,7,8,7.33333333333333,65
"11",4,NA,2,16,9,5.66666666666667,35
"12",8,5,6,16,10,5.66666666666667,28
"13",2,NA,2,8,9,2,46
"14",9,2,3,13,NA,6.66666666666667,18
"15",4,3,6,8,6,5,57
"16",8,8,5,11,8,8.66666666666667,27
"17",10,5,8,5,8,NA,69
"18",9,5,9,2,2,8,66
"19",8,7,8,2,8,4,39
"20",10,7,8,10,6,5,30
"21",NA,NA,NA,NA,7,NA,NA
"22",5,3,8,10,NA,5,56
"23",8,7,6,12,10,3.66666666666667,18
"24",9,7,5,15,10,7.66666666666667,20
"25",7,5,5,14,9,7.66666666666667,56
"26",8,6,7,11,8,6.33333333333333,60
"27",8,3,8,17,6,6.66666666666667,32
"28",8,6,7,14,9,7.33333333333333,49
"29",8,5,8,16,NA,4.33333333333333,39
"30",8,4,6,18,10,6.66666666666667,31
"31",8,4,9,13,8,6,23
"32",9,6,9,15,8,6.33333333333333,66
"33",4,NA,9,9,6,5,30
"34",10,NA,10,4,NA,6.33333333333333,80
"35",10,4,8,8,4,7.33333333333333,45
"36",9,5,7,10,11,7.33333333333333,15
"37",5,5,8,13,7,5,51
"38",10,7,6,14,10,6.33333333333333,48
"39",8,5,7,14,8,5.33333333333333,26
"40",8,5,8,16,9,5.66666666666667,50
"41",9,5,6,9,7,7,80
"42",8,5,6,17,11,6.66666666666667,46
"43",7,5,5,10,10,5.33333333333333,52
"44",8,8,8,22,11,6,64
"45",6,5,7,10,6,4.33333333333333,72
"46",9,NA,9,11,8,7.66666666666667,54
"47",9,0,9,8,6,6,73
"48",8,8,8,17,10,7.66666666666667,44
"49",7,3,6,17,9,7,38
"50",8,5,5,16,NA,3.33333333333333,34
"51",9,5,8,14,4,7,47
"52",7,3,5,16,7,7,50
"53",8,5,7,17,8,4,29
"54",9,4,6,18,9,9,64
"55",5,5,6,11,4,7,47
"56",9,3,2,16,NA,5,NA
"57",9,3,7,15,7,6,24
"58",8,5,7,13,9,8,62
"59",8,3,5,8,8,8.33333333333333,65
"60",7,NA,8,18,9,6.66666666666667,46
"61",7,5,8,4,7,6,74
"62",7,5,6,16,8,7,46
"63",8,7,5,11,6,5.33333333333333,36
"64",9,7,7,14,10,8.66666666666667,36
"65",9,5,0,5,10,7.33333333333333,NA
